Action,TimeOfAction
Stop Ball,17:01:37.554177
Strafe Dribble,17:01:38.023302
Pass and Go,17:01:38.073797
Strafe Dribble,17:01:38.429910
Strafe Dribble,17:01:38.770105
Pass and Go,17:01:38.786070
Stop Ball,17:01:39.201557
Through Pass,17:01:39.734270
Through Pass,17:01:42.142476
Lobbed Through Pass,17:01:42.146519
Slow Dribble,17:01:44.835550
Slow Dribble,17:01:45.466340
Stop Ball,17:01:45.726291
Strafe Dribble,17:01:46.697872
Strafe Dribble,17:01:46.824112
Strafe Dribble,17:01:48.956748
Strafe Dribble,17:01:49.111792
Slow Dribble,17:01:49.171820
Strafe Dribble,17:01:50.020252
Strafe Dribble,17:01:50.024252
Slow Dribble,17:01:50.224251
Slow Dribble,17:01:51.287555
Slow Dribble,17:01:52.608085
Strafe Dribble,17:01:52.950062
Shield/Jockey,17:01:56.472111
Shield/Jockey,17:01:56.806311
Slow Dribble,17:01:56.842330
Strafe Dribble,17:01:57.979039
Through Pass,17:01:59.084419
Lobbed Through Pass,17:01:59.286182
Ground Pass/Header,17:02:11.838803
Through Pass,17:02:13.332244
Through Pass,17:02:13.334308
Ground Pass/Header,17:02:17.391007
Ground Pass/Header,17:02:19.263859
Driven Ground Pass,17:02:19.271969
Ground Pass/Header,17:02:21.838342
Through Pass,17:02:23.577143
Stop Ball,17:02:24.162764
Strafe Dribble,17:02:25.034989
Pass and Go,17:02:25.038955
Strafe Dribble,17:02:27.422258
Pass and Go,17:02:27.430258
Shield/Jockey,17:02:28.106346
Slow Dribble,17:02:28.393773
Slow Dribble,17:02:28.637741
Slow Dribble,17:02:28.811179
Shield/Jockey,17:02:29.789321
Fake Pass,17:02:32.210466
Strafe Dribble,17:02:32.735504
Strafe Dribble,17:02:32.795504
Strafe Dribble (Lock Face Angle),17:02:32.803719
Shield/Jockey,17:02:33.553013
Strafe Dribble,17:02:34.998613
Strafe Dribble (Lock Face Angle),17:02:35.002613
Ground Pass/Header,17:02:35.523540
Pass and Go,17:02:35.527613
Stop Ball,17:02:35.805898
First Touch/Knock-On,17:02:38.523475
Fake Pass,17:02:38.837485
Strafe Dribble,17:02:39.630985
Pass and Go,17:02:39.810985
Shoot/Volley/Header,17:02:43.059486
Shield/Jockey,17:02:43.654872
Slow Dribble,17:02:43.908646
Slow Dribble,17:02:44.250815
Shield/Jockey,17:02:44.330815
Strafe Dribble,17:02:44.826815
Strafe Dribble,17:02:44.850815
Strafe Dribble (Lock Face Angle),17:02:44.930854
Slow Dribble,17:02:45.604570
Shield/Jockey,17:02:48.069551
Offside Trap,17:02:50.568399
Shield/Jockey,17:02:51.420007
