Type,SpecifiedButton,Pressed,TimePressed
Absolute,DPAD_UP,-1,10:20:27.781155
Absolute,DPAD_UP,0,10:20:27.917378
Absolute,DPAD_UP,-1,10:20:28.136929
Absolute,DPAD_UP,0,10:20:28.296681
Absolute,DPAD_RIGHT,1,10:20:28.660783
Absolute,DPAD_RIGHT,0,10:20:28.833176
Absolute,DPAD_DOWN,1,10:20:29.136869
Absolute,DPAD_DOWN,0,10:20:29.313399
Absolute,DPAD_LEFT,-1,10:20:29.632544
Absolute,DPAD_LEFT,0,10:20:29.801121
Absolute,DPAD_UP,-1,10:20:30.149259
Absolute,DPAD_UP,0,10:20:30.288948
Absolute,DPAD_RIGHT,1,10:20:30.602078
Absolute,DPAD_RIGHT,0,10:20:30.768665
Absolute,DPAD_DOWN,1,10:20:31.108756
Absolute,DPAD_DOWN,0,10:20:31.281296
Absolute,DPAD_LEFT,-1,10:20:31.641361
Absolute,DPAD_LEFT,0,10:20:31.824897
Absolute,DPAD_DOWN,1,10:20:39.117361
Absolute,DPAD_DOWN,0,10:20:39.297014
Absolute,DPAD_UP,-1,10:20:39.880941
Absolute,DPAD_UP,0,10:20:40.049035
Absolute,DPAD_RIGHT,1,10:20:40.436965
Absolute,DPAD_RIGHT,0,10:20:40.641419
Absolute,DPAD_DOWN,1,10:20:40.973564
Absolute,DPAD_DOWN,0,10:20:41.148773
Absolute,DPAD_LEFT,-1,10:20:41.496626
Absolute,DPAD_LEFT,0,10:20:41.681134
Absolute,DPAD_UP,-1,10:20:42.029171
Absolute,DPAD_UP,0,10:20:42.192769
Absolute,DPAD_RIGHT,1,10:20:42.536944
Absolute,DPAD_RIGHT,0,10:20:42.721423
Absolute,DPAD_DOWN,1,10:20:43.057019
Absolute,DPAD_DOWN,0,10:20:43.225566
Absolute,DPAD_LEFT,-1,10:20:43.584640
Absolute,DPAD_LEFT,0,10:20:43.769183
Absolute,DPAD_LEFT,-1,10:20:50.184925
Absolute,DPAD_LEFT,0,10:20:50.360825
Absolute,DPAD_LEFT,-1,10:20:50.888950
Absolute,DPAD_LEFT,0,10:20:51.045500
Absolute,DPAD_LEFT,-1,10:20:51.581100
Absolute,DPAD_LEFT,0,10:20:51.745233
Absolute,DPAD_RIGHT,1,10:20:52.212684
Absolute,DPAD_RIGHT,0,10:20:52.389213
Absolute,DPAD_RIGHT,1,10:20:52.789111
Absolute,DPAD_RIGHT,0,10:20:52.997555
Absolute,DPAD_RIGHT,1,10:20:53.576628
Absolute,DPAD_RIGHT,0,10:20:53.789224
Absolute,DPAD_RIGHT,1,10:20:54.372663
Absolute,DPAD_RIGHT,0,10:20:54.620995
Absolute,DPAD_LEFT,-1,10:20:55.100745
Absolute,DPAD_LEFT,0,10:20:55.293198
Absolute,DPAD_LEFT,-1,10:20:55.701108
Absolute,DPAD_LEFT,0,10:20:55.861686
