Type,SpecifiedButton,Pressed,TimePressed
Absolute,JOYSTICK_RIGHT,DOWN_LEFT,10:13:54.972810
Absolute,JOYSTICK_LEFT,LEFT,10:13:55.004729
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:13:55.053847
Key,BTN_TR,1,10:13:55.172892
Absolute,TRIGGER_RIGHT,PUSHED,10:13:55.620892
Absolute,DPAD_DOWN,1,10:13:55.657950
Absolute,DPAD_DOWN,0,10:13:55.680890
Absolute,DPAD_DOWN,1,10:13:55.828886
Absolute,DPAD_DOWN,0,10:13:55.856618
Key,BTN_TL,1,10:13:55.984905
Key,BTN_TL,0,10:13:56.100895
Absolute,JOYSTICK_LEFT,UP_LEFT,10:13:56.376911
Absolute,JOYSTICK_RIGHT,UP,10:13:56.784743
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:13:56.908743
Absolute,JOYSTICK_LEFT,UP,10:13:57.101764
Key,BTN_TL,1,10:13:57.192771
Key,BTN_TL,0,10:13:57.273946
Absolute,JOYSTICK_LEFT,UP_LEFT,10:13:57.304910
Absolute,TRIGGER_LEFT,PUSHED,10:13:57.408997
Absolute,JOYSTICK_LEFT,LEFT,10:13:57.473740
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:13:57.708866
Absolute,JOYSTICK_LEFT,DOWN,10:13:57.844914
Absolute,TRIGGER_LEFT,NEUTRAL,10:13:58.016892
Key,BTN_TR,0,10:13:58.241681
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:13:58.976870
Absolute,JOYSTICK_LEFT,LEFT,10:13:59.428896
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:13:59.852866
Absolute,JOYSTICK_LEFT,DOWN,10:13:59.928867
Absolute,JOYSTICK_RIGHT,DOWN,10:14:00.596870
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:14:00.680888
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:14:00.888868
Absolute,JOYSTICK_LEFT,LEFT,10:14:01.300868
Key,BTN_TL,1,10:14:01.828870
Key,BTN_TR,1,10:14:01.865938
Key,BTN_TL,0,10:14:01.908869
Absolute,TRIGGER_LEFT,PUSHED,10:14:02.020886
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:14:02.072817
Absolute,JOYSTICK_LEFT,DOWN,10:14:02.152909
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:14:02.572710
Absolute,JOYSTICK_LEFT,LEFT,10:14:02.612874
Absolute,JOYSTICK_RIGHT,UP,10:14:02.692939
